nm,n,k
3840.245776,3.417641349,2.67E-06
3843.19754,3.417639744,2.67E-06
3846.153846,3.417638141,2.67E-06
3849.114704,3.417636539,2.67E-06
3852.080123,3.417634938,2.67E-06
3855.050116,3.417633339,2.67E-06
3858.024691,3.41763174,2.67E-06
3861.003861,3.417630143,2.67E-06
3863.987635,3.417628548,2.67E-06
3866.976025,3.417626953,2.67E-06
3869.96904,3.41762536,2.67E-06
3872.966692,3.417623768,2.67E-06
3875.968992,3.417622177,2.67E-06
3878.97595,3.417620588,2.67E-06
3881.987578,3.417618999,2.67E-06
3885.003885,3.417617413,2.67E-06
3888.024883,3.417615827,2.67E-06
3891.050584,3.417614242,2.67E-06
3894.080997,3.417612659,2.67E-06
3897.116134,3.417611077,2.67E-06
3900.156006,3.417609497,2.67E-06
3903.200625,3.417607917,2.67E-06
3906.25,3.417606339,2.67E-06
3909.304144,3.417604762,2.67E-06
3912.363067,3.417603186,2.67E-06
3915.426782,3.417601612,2.67E-06
3918.495298,3.417600039,2.67E-06
3921.568627,3.417598467,2.67E-06
3924.646782,3.417596896,2.67E-06
3927.729772,3.417595327,2.67E-06
3930.81761,3.417593759,2.67E-06
3933.910307,3.417592192,2.67E-06
3937.007874,3.417590626,2.67E-06
3940.110323,3.417589062,2.67E-06
3943.217666,3.417587499,2.67E-06
3946.329913,3.417585937,2.67E-06
3949.447077,3.417584376,2.67E-06
3952.56917,3.417582817,2.67E-06
3955.696203,3.417581259,2.67E-06
3958.828187,3.417579702,2.67E-06
3961.965135,3.417578146,2.67E-06
3965.107058,3.417576592,2.67E-06
3968.253968,3.417575039,2.67E-06
3971.405878,3.417573487,2.67E-06
3974.562798,3.417571936,2.67E-06
3977.724741,3.417570387,2.67E-06
3980.89172,3.417568839,2.67E-06
3984.063745,3.417567292,2.67E-06
3987.240829,3.417565746,2.67E-06
3990.422985,3.417564202,2.67E-06
3993.610224,3.417562659,2.67E-06
3996.802558,3.417561117,2.67E-06
4000,3.417559576,2.67E-06
4003.202562,3.417558037,2.67E-06
4006.410256,3.417556499,2.67E-06
4009.623095,3.417554962,2.67E-06
